topic,content,date,section,company,url
Most people interact with commodities on a daily basis.," If you really stop and think about it, most of what average people spend their money on
revolves around the consumption of commodities. When you wake up in the morning, you might drink a cup of coffee. On
the way to work, you might put gasoline in your car. When you pay your electric bills, buy a car, buy clothes, or even bake
a cake, you are spending money on commodityrelated expenses. The prices of these items are dependent on the prices of
the physical commodities. For instance, when crude oil prices rise because of increased tensions in the Middle East, you
can easily see this in gasoline prices. When excessive heat drives up demand for natural gas, you can also see this in
your utility bill.",201703_2,blank,CSAT,UNK
Our sense of how deprived we are is relative.,"This is an observation that is both obvious and (upon exploration) deeply profound, and it
explains all kinds of otherwise puzzling observations. Which do you think, for example, has a higher suicide rate: countries
whose citizens declare themselves to be very happy, such as Switzerland, Denmark, Iceland, the Netherlands, and
Canada, or countries like Greece, Italy, Portugal, and Spain, whose citizens describe themselves as not very happy at all?
Answer: the socalled happy countries. If you are depressed in a place where most people are pretty unhappy, you
compare yourself to those around you and you don’t feel all that bad. But can you imagine how difficult it must be to be
depressed in a country where everyone else has a big smile on their face?",201703_2,blank,CSAT,UNK
"The degree of animals’ tolerance for the human disturbance depends
on the frequency of their exposure to humans.","Sometimes animals seem unconcerned even when
approached closely, whereas other times they disappear in a
flash when you come in sight. Animals tend to be disturbed by
unexpected and unpredictable events; quick movements and
loud noises are particularly stressful. Animals that are regularly
disturbed by visitors are more likely to tolerate your intrusion
than those that have had little previous contact with humans. In
Yellowstone National Park, for example, elk that live close to
the town of Mammoth Hot Springs typically do not flee until
crosscountry skiers get within fifty feet. In more remote parts of
the park, however, elk take flight when skiers are as much as a
quarter mile away.",201703_2,topic,CSAT,UNK
Limitations Are Advantages,"An artist or a child simply accepts whatever is in front of them
as tool, toy, or environment, and proceeds from that point. Part
of what is invigorating about the creative process is that it can
start from humble materials and poor beginnings. There is a
term in painting called “working with a limited palette;” a
deliberate choice to work with fewer colors than actually
available. With fewer options an artist can work more easily—
less colors actually inspire her to creative resolutions.
As a designer, I am often called upon to work with existing
elements: logos, color palettes, slogans, etc. I see these limits
as elements that actually help me; it is the limitations that help
me free my creative imagination.
Contemporary artist Vik Muniz uses everyday materials to
replicate classic artwork. He has used chocolate syrup to
render Leonardo da Vinci’s Last Supper, and has recreated the
Mona Lisa with peanut butter and jelly. He uses what is around
him—from spaghetti to toy soldiers—as the “paint” for his
paintings.
Like a child who doesn’t wait for the perfect tool or circumstances, 
an artist makes art from what he has around
him. The artist sees inspiration where the ordinary person sees
only a limitation or an obstacle.",201703_2,topic,CSAT,UNK
To guide you in dealing with the leakage of personal information from websites,"We are reaching out to you because GeoWeb recently
learned about a security incident potentially affecting the
accounts of GeoWeb users. We promptly hired leading
information security experts to investigate this incident and
reported the incident to law enforcement. Our investigation has
now confirmed that user names, email addresses, and
passwords were acquired by an unauthorized third party. We
have no indication at this time that any user passwords have
been used illegally, but we strongly recommend that all users
reset their passwords as soon as possible. If you used the
same password on any other site, we encourage you to change
your password there as well.",201710,topic,CSAT,UNK
"excited, disappointed","One time, my boss and I were sitting around the table and I pitched an idea about the trend of screenplays being
published and sold as literature. My boss approved it. It was the first time she had given me the goahead to report and
write a feature. It meant a lot to me that I’d possibly have my name on a longer piece. I felt so happy that I set about the
work immediately. I wrote a draft, which was of course open to making revisions. My boss reviewed it and just said, “No,
this isn’t working.” She didn’t say why or offer advice about how to fix it. I knew that the first draft wouldn’t be perfect; still, I
wasn’t prepared for such an instant rejection. It was almost as if she drained my energy and enthusiasm.",201710,atmosphere,CSAT,UNK
"To determine the aggression of an action, you need to know its intentions.","Suppose a child throws a ball to another child intending to start a game of catch. The other child is not watching and the
ball hits the child on the head. The child cries and runs to tell the teacher about the aggressive behaviour of the other
‘naughty’ child. Of course the child who threw the ball is innocent but, if we have defined aggression in terms of pure
behaviour, the consequences of an act, then the child who throws the ball is unfairly guilty. Clearly we need to take
intention into account when we define aggression. We can now move to a more complete definition if we say that
aggression is any behaviour that is intended to hurt others.",201710,opinion,CSAT,UNK
Public participation is needed from the beginning of building development,"A new development may take years to evolve. If people are only informed of a new proposal in its final stages, their role
is often limited to the negative one of rejecting it. Their protests are then seen by planners and developers as an
expensive nuisance, so the public become the ‘enemy’. Many people would like their voices to be heard from the initial
stages of a proposed new development, instead of at the last stages of an application. Some architects and developers
see this as a threat and insult to their professional skills, rather than a twoway process, beneficial to all parties. Of course
the public cannot design a building, but its involvement at an early stage adds to the information available, and replaces a
confrontational ‘them and us’ situation by a democratic process of participation and consultation. This situation is now
changing as the importance of public consultation becomes increasingly recognised.",201710,opinion,CSAT,UNK
necessity of paying close attention to the declining bird population,"Birds, as a whole group, are more sensitive to changes in their environment than other animals, so when they start
falling off perches we should all be troubled. They are in the forwardmost trench of nature’s resistance against the
relentless attrition of environmental degradation. Our birds are nature’s early warning system and the scientists are telling
us that if we don’t start acting on their distress signals, it won’t be long before the rest of the animal world is overrun as
well. The populations of many species are declining rapidly because habitats are being destroyed or undermined, food
sources are disappearing and, tricked by the increasingly weird and unstable weather, the birds’ migration and breeding
patterns are changing. In short, birds are confused and under stress. Just because you can hear your robins, goldfinches,
and sparrows chirping away happily in the garden every morning, don’t be fooled into thinking that all is well in ‘birdworld’.",201710,topic,CSAT,UNK
Knowledge: A Cornerstone for Cognitive Activities,"Appealing though it might be to offload the responsibility for teaching our students basic knowledge to their elementary
school teachers or to the Internet, the research of cognitive psychologists who study learning and the basic study habits of
most students suggest that we cannot do this. One of our first and most important tasks as teachers is to help students
develop a rich body of knowledge in our content areas—without doing so, we handicap considerably their ability to engage
in cognitive activities like thinking and evaluating and creating. As cognitive psychologist Daniel Willingham argued, you
can’t think creatively about information unless you have information in your head to think about. “Research from cognitive
science has shown,” he explained, “that the sorts of skills that teachers want for their students—such as the ability to
analyze and think critically—require extensive factual knowledge.” We have to know things, in other words, to think
critically about them.",201710,topic,CSAT,UNK
"She noticed that many of them were farmer’s wives who had in common a strong faith in
their own judgment","One characteristic of people who have achieved peace of mind is their independence. They trust their instincts. Nobody
can tell them what to think if their inner voices say otherwise. Brendan O’Regan tells about a doctoral student who placed
an ad in an Idaho newspaper asking if anyone within a 300mile radius had experienced a remission. Twentyfive people
replied. When she asked one of her interview subjects how she had felt when the doctor told her she
had a terminal illness, the woman simply said, “I figured that was his opinion. We’re used to being told all these things by
all these experts from the federal government who come in and look at the soil. They say ‘Don’t plant corn over there
because it won’t grow,’ and you plant it and it grows beautifully. So you realize the experts don’t know everything. When
the doctor told me I was going to die in six months, I said ‘What does he know, he’s only an expert!’”",201710,blank,CSAT,UNK
Sniffing at an imaginary odor isn’t an absentminded habit—it’s a behavior that improves the mental image we are trying to create. ,"So closely is sniffing tied to odor perception that people routinely sniff when they are asked to imagine a smell. Without
prompting, they take larger sniffs when imagining pleasant odors and smaller ones when imagining malodors. During
visual imagery the eyes explore an imagined scene using the same scan paths made when viewing the actual visual
scene. Preventing eye movements during visual imagery—by having people stare at a stationary target—reduces the
quality of the image. Smell researcher Noam Sobel found that, similarly, imagined odors were more vivid when people
could sniff than when they were wearing nose clips and unable to sniff. Actually sniffing increased the unpleasantness of
an imagined bad smell (urine) and increased the pleasantness of a good one (flowers). ",201710,blank,CSAT,UNK
Researcher Timothy Carey and colleagues recently examined the idea that insights can be shortcuts to positive personal change. ,"People change over time, often for the better. Maturity, wisdom, patience, and many other strengths can result from the
gradual accumulation of life experiences. But do these qualities have to develop slowly? They conducted structured interviews with
people who had just finished psychotherapy. Reports of aha moments abounded. One interviewee said that he could
“visualize the point” at which he changed; another said, “I could actually hear it.” Many of them could identify the moment
at which they had their realizations, such as in a swimming pool with a spouse or in a particular meeting with a therapist.
Some used familiar metaphors to describe their ahas, such as a light being turned on, a button being pressed, a click, or a
“‘ping’ and then it was like I could see things clearly.” Personal growth doesn’t have to be a glacial process. As physician-
author Oliver Wendell Holmes, Sr., wrote, “A moment’s insight is sometimes worth a life’s experience.”",201710,blank,CSAT,UNK
"Reconstructions of it will necessarily be interpretations based on
resemblances modeled after a nonexistent object forever beyond our reach","Renewal and reform always depend on a capacity for going backwards to go forward. Key to this process is a search
within one’s own mind for a model according to which reformed practice can be organized. Architects have long appealed
to a primitive hut as just such a model. It is a structure thought to provide access as close to the first principles of
architecture as it is possible to get, yet traces of this structure exist nowhere other than in the mind’s eye of the architect
searching for it. Nonetheless, absence of the primitive hut from physical reality does little to diminish its importance for the
renewal of present practices. If a desired (or required) thing resides in paradise, and no current map indicates its location,
getting to it will only be possible via dreams and wishes. Even though it is impossible to get there, returning to paradise nonetheless remains a
reasonable destination for the memory, still able, by way of example, to fulfill its promise to the here and now.",201710,blank,CSAT,UNK
"Children’s drawings lack the expression of depth, and the size of
an object in the drawings reveals its significance in the children’s mind.","Perspective is defined as the art of picturing objects as they
appear to the eye. We have been taught to represent distant
objects as smaller, thereby giving the illusion of depth. But are
they really smaller? The child knows that the man fifty feet
away is just as big as the one five feet away. So why draw one
smaller than the other? The child’s drawings are not
reproductions of an optical image. He uses size to impart
emphasis and importance. He draws his concept of the object.
His drawing is consequently more meaningful than a faithful
reproduction. Objectivity can be achieved by photography.
Many true artists use distortion, exaggeration, or reduction to
essentials. The child draws the man bigger than the tree in his
front yard because to him the man is more significant. For the
same reason, we see the person bigger than the house.",201710,topic,CSAT,UNK
Is TechnologyCentered Design Suitable for Humans?,"Traditionally, systems have been designed and developed
from a technologycentered perspective. Engineers developed
the sensors and systems that were needed to perform each
function. They then provided a display for each system that
informed the operator of how well that particular system was
operating or its present status. So, for example, in the aircraft
cockpit a separate display was provided for altitude, airspeed,
engine temperature, etc. As technology improved, more and
more displays were added. People were left with the job of
trying to keep pace with the dramatic growth of data created by
this process. In the face of changing tasks and situations, the
operator is called upon to find, sort, integrate, and process the
information that is needed from all that which is available,
leading inevitably to an information gap.
Unfortunately, the human has certain information processing
bottlenecks. People can only pay attention to a certain amount
of information at once. As the display of data in these systems
is centered around the technologies producing them, it is often
scattered and not ideally suited to support human tasks. A
considerable amount of additional work is required to find what
is needed and extra mental processing is required to calculate
the information the operator really wants to know. This
inevitably leads to higher than necessary workload and error.
Keeping up has become harder and harder to do.",201710,topic,CSAT,UNK
"urgent, desperate","The wind continued to blow harder. He couldn’t measure it by any
conscious process, but he knew somehow that it was blowing harder.
Not far away a tree was uprooted. Other trees were falling, spinning
and criss-crossing like matches. He was amazed at the power of the
wind. The tree he was holding onto was swaying dangerously.
Nearby, a woman was wailing and clutching a little girl, who in turn
hung on to her cat. The sea washed across the strip of sand. He saw
the silhouettes of people huddled together against the churning white
of the lagoon. Things were getting worse every second.",201711,atmosphere,CSAT,UNK
Rushing rather slows things down.,"Are you a ‘rushaholic’? Do you happen to live in a fast-paced city,
where you feel in a constant hurry? A recent poll of over 1,000
Americans found that nearly half felt they lacked enough time in daily
life. ‘Time famine’―the feeling of having too much to do and not
enough time to do it―is the cause of unnecessary stress and
reduced performance. We all tend to rush when we have so many
things to do, and that negatively affects our performance. Doing
things quickly actually ends up slowing you down, such as when you
rush out of your house only to realize you forgot your keys, phone, or
wallet on the kitchen table. Driving faster will not get you to your
destination any sooner. Assuming that by doing things faster you will
get more done is a trap.",201711,topic,CSAT,UNK
"unusual defensive techniques certain animals use to protect
themselves","The trio of freeze, flight, and fight are fairly universal behavioral
defensive reactions in mammals and other vertebrate species. But
some species have other options available, such as “playing dead,”
which is also called tonic immobility. Like freezing, this behavior can
help prevent attack, but whereas in freezing muscles are contracted
and poised to be used in fight or flight, in tonic immobility the
muscles of the body are relaxed. Another such response is defensive
burying: Rodents will use their paws and head to shovel dirt toward
an aversive stimulus. Other behavioral options include making loud
noises, retreating into a shell, rolling into a tight ball, choosing to live
in a predator-free area such as underground, or relying on safety in
numbers by living in a group.",201711,topic,CSAT,UNK
Setting a Workout Goal with Technology Isn’t Always Right,"Katherine Schreiber and Leslie Sim, experts on exercise addiction,
recognized that smartwatches and fitness trackers have probably
inspired sedentary people to take up exercise, and encouraged people
who aren’t very active to exercise more consistently. But they were
convinced the devices were also quite dangerous. Schreiber explained
that focusing on numbers separates people from being in tune with
their body. Exercising becomes mindless, which is ‘the goal’ of
addiction. This ‘goal’ that she mentioned is a sort of automatic
mindlessness, the outsourcing of decision making to a device. She
recently sustained a stress fracture in her foot because she refused to
listen to her overworked body, instead continuing to run toward an
unreasonable workout target. Schreiber has suffered from addictive
exercise tendencies, and vows not to use wearable tech when she
works out.",201711,topic,CSAT,UNK
Using Aromas That Create States of Well-Being,"Your sense of smell links you directly with your feelings, instincts and
memories. Scents have the power to stimulate states of well-being. By
utilizing aromas in your daily habits, you can enjoy the advantages of
an intense state of health. Find a scent that you like and inhale its
perfume at times when you’re feeling calmed and at peace. Perhaps
it’s the incense that you burn during meditation, a torch that you light
during a calming bath, or an aromatic oil spray that you put on your
cushion before bedtime. In time, your body will connect these relaxed
feelings with the usage of that specific scent. When you encounter a
moment of stress, you can smell the aroma that you connect with a
state of relax and that will produce a calming response throughout your
whole body.",201711,topic,CSAT,UNK
"Let’s accept and be thankful for the stability
our slow-changing brains provide us.","What is the true nature of the brain? The brain is a slow-changing
machine, and that’s a good thing. If your brain could completely change
overnight, you would be unstable. Let’s just say that your norm is to
wake up, read the paper with coffee and a bagel, walk your dog, and
watch the news. This is your habitual routine. Then one night, you get a
phone call at 3 a.m. and have to run outside in your underwear to
check on your neighbors. What if your brain latched on to this new
routine and you continued to run outside at 3 a.m. every night in your
underwear? Nobody would want that, so it’s a good thing our brains
require more repetition than that! ",201711,blank,CSAT,UNK
Hearing is basically a specialized form of touch.,"Sound is simply vibrating air which the ear picks
up and converts to electrical signals, which are then interpreted by the
brain. The sense of hearing is not the only sense that can do this; touch
can do this too. If you are standing by the road and a large truck goes
by, do you hear or feel the vibration? The answer is both. With very low
frequency vibration the ear starts becoming inefficient and the rest of
the body’s sense of touch starts to take over. For some reason we tend
to make a distinction between hearing a sound and feeling a vibration,
but in reality they are the same thing. Deafness does not mean that you
can’t hear, only that there is something wrong with the ears. Even
someone who is totally deaf can still hear/feel sounds.",201711,blank,CSAT,UNK
"If the price falls so much that it is no longer high enough to exclude the less well off, the rich will stop buying it","Veblen goods are named after Thorstein Veblen, a US economist who
formulated the theory of “conspicuous consumption”. They are strange
because demand for them increases as their price rises. According to
Veblen, these goods must signal high status. A willingness to pay
higher prices is due to a desire to advertise wealth rather than to
acquire better quality. A true Veblen good, therefore, should not be
noticeably higher quality than the lower-priced equivalents. There is much evidence
of this behavior in the markets for luxury cars, champagne, watches,
and certain clothing labels. A reduction in prices might see a temporary
increase in sales for the seller, but then sales will begin to fall.",201711,blank,CSAT,UNK
"Unlike cultures with high acceptance of power distance, where
members are more willing to accept inequality, cultures with low
acceptance of power distance allow more mobility within the social
hierarchy.","Power distance is the term used to refer to how widely an
unequal distribution of power is accepted by the members of a
culture. It relates to the degree to which the less powerful
members of a society accept their inequality in power and
consider it the norm. In cultures with high acceptance of power
distance (e.g., India, Brazil, Greece, Mexico, and the
Philippines), people are not viewed as equals, and everyone has
a clearly defined or allocated place in the social hierarchy. In
cultures with low acceptance of power distance (e.g., Finland,
Norway, New Zealand, and Israel), people believe inequality
should be minimal, and a hierarchical division is viewed as one
of convenience only. In these cultures, there is more fluidity
within the social hierarchy, and it is relatively easy for individuals
to move up the social hierarchy based on their individual efforts
and achievements.",201711,topic,CSAT,UNK
"Playing Video Games Can Help Frightening Memories Go
Away","In 2009, Emily Holmes asked a group of adults to watch a video
featuring “eleven clips of traumatic content including graphic real
scenes of human surgery and fatal road traffic accidents.” This
was their trauma simulation, and the participants were indeed
traumatized. Before watching the video, they reported feeling
calm and relaxed; afterward they were disturbed and anxious.
Holmes forced the adults to wait for thirty minutes. Then, half the
participants played a block-matching puzzle video game for ten
minutes, while the other half sat quietly.
The adults went home for a week, and recorded their thoughts in
a daily diary. Once a day they recalled the scenes from the
video that replayed in their minds. Those who had sat quietly
after watching the video experienced an average of six
flashbacks; those who had played the game experienced an
average of fewer than three. The video game, with its colors and
music and rotating blocks, prevented the initial traumatic
memories from solidifying . The game soaked up the mental attention that
might have otherwise moved those horrific memories to long-
term memory, and so they were stored imperfectly or not at all.
At the end of the week, the adults returned to the lab, and those
who had been lucky enough to play the game reported fewer
psychiatric symptoms. The video game had functioned as a
“cognitive vaccine,” the researchers explained.",201711,topic,CSAT,UNK
To hold off the resignation of an employee,"I was sorry to receive your letter. I would like to see if there is
some way we can address your concerns. As your supervisor, I
feel that you have performed well in your time with the
company; your departure would be a big loss to us. In your
letter you make reference to personal conflicts you have had
with some of the others in our department. With your
permission, I would like to ask the Human Resources to
become involved and look for a way to improve the working
environment. I’m hoping that you reconsider your resignation.
Please allow us to try to keep a valued employee.",201810,opinion,CSAT,UNK
"hopeful, delighted","As Farish and I walked, brown sandstones gave way to pink limestones, which was a promising sign that fossils were in
the neighborhood. After we spent a few minutes peering at rocks, alarm bells went off; my attention was pulled to an
unusual faint light flashing from a corner of a melonsized rock. My heart pounded hard. Experience in the field taught me
to respect the sensation triggered by these moments. I spent about five minutes curled up with the rock close to my eyes
before passing it to Farish for his expert opinion. Farish froze solid. His eyes shot back to me with a look of suppressed
emotion, disbelief, and surprise. “Yes, we found it!” I cried. Jumping with joy, I hugged him.",201810,atmosphere,CSAT,UNK
"To make friends, pay more attention to your inner self","You know the old saying about having only one chance to make a first impression? Forget about it for once and give
people a second chance. Even if you didn’t like someone’s question at yesterday’s lecture or you thought his outfit was
outofplace for the event, don’t immediately write that person off as a potential friend. This is a time in your life to dig
deeper and allow yourself to find out what makes people behave the way they do. Forget about surfaces and look for
what’s inside. And remember, it takes time for new friendships to develop. As you get to know each other, shared
experiences and interests will become woven into the friendship. Keep working on the relationship, even if it feels
uncomfortable at times.",201810,opinion,CSAT,UNK
"In a democratic environment, science helps to shape sound knowledge.","When science is examined as an enterprise that involves the values of independence, freedom, the right to dissent, and
tolerance, it is clear that as a social activity science cannot flourish in an authoritarian climate. Some philosophers of
science such as Bronowski claim that science cannot be practiced in authoritarian regimes. In a democratic environment,
old ideas can be challenged and rigorously criticized, although with some difficulty because of the human desire to hold
onto old ideas, especially by the original proposers. Yet it is the essence of scientific thinking to propose alternative ideas
and then to test them against existing concepts. As pointed out in an American Association for the Advancement of
Science report, Science for All Americans, “indeed, challenges to new ideas are the legitimate business of science in
building valid knowledge.”",201810,topic,CSAT,UNK
cultural reasons for people’s dislike for insects,"Considering the multitude of ways people benefit from insects, it is curious that insects continue to suffer from such an
unfavorable reputation. Ironically, while many of us perceive insects as harmful pests―dangerous, ugly, and disease-
ridden―in reality, without the service of pollination which they provide humankind might cease to exist. The promotion of
negative stereotypes of insects can be largely traced to failure by Europeans to appreciate or understand the customs of
the lands they colonized and their misperception that the way of life of most indigenous populations they encountered was
barbaric. Many people’s dislike for insects stems from a similar classist attitude that associates insects with indigenous
people who lack the means to buy or grow alternate sources of food. Again this prejudice stems largely from Western
cultures. In contrast, cultures of many Eastern nations such as Japan and China consider various species of insects to be
great delicacies.",201810,topic,CSAT,UNK
Under Undetectable Attack by Chemicals,"Through evolution, our brains have developed to deal with acute dangers, whether sabertoothed cats or thunderstorms.
Our nerve connections will ensure that we become aware of the dangers and react to them to protect ourselves, being
alerted by their peculiar smell, their threatening looks, or their scary noise. But nothing in our past has prepared us to deal
with the insidious chemical threats that endanger the development of the next generation’s brains. On the contrary, we are
thoroughly enjoying the immediate benefits of attractive consumer goods, efficient technologies, and handsome profits that
we generate from producing and disseminating hazardous chemicals. Our senses are not geared toward detecting the
underlying dangers. The irony is that the resulting harm to the brain may wipe out some of those senses that we badly
need to manage this very problem.",201810,topic,CSAT,UNK
"The flexibility of medicinal use makes the essential oils of special benefit to patients whose digestive systems have, for whatever reason, been
impaired.","One of the most satisfactory aspects of using essential oils medicinally and cosmetically is that they enter and leave the
body with great efficiency, leaving no toxins behind. The most effective way to use essential oils is not orally, as one might
think, but by external application or inhalation. The methods used include body oils, compresses, cosmetic lotions, baths,
hair rinses, inhalation (by steam, direct from the bottle or from a tissue), perfumes, room sprays, and a whole range of
room methods. Although under supervision the essential oils can be prescribed for oral ingestion, this is in fact their least
effective mode of entry because it involves their passing through the digestive system, where they come into contact with
digestive juices and other matter which affect their chemistry. This limitation also applies to any chemical medications.
",201810,blank,CSAT,UNK
"When it comes to the extent to which the volume of activity can be multiplied , contributions to political
campaigns and causes present a special case.","Political acts vary in terms of contribution. At one extreme, within limits, votes have equal weight. We are each allowed
only one per election contest. But the principle of one person, one vote does not obtain for other kinds of participation.
Individuals are free to write as many letters to public officials, work as many hours in campaigns, or join as many political
organizations as their time and commitment allow. Although there are no legal constraints on the number of phone calls a
citizen can make to public officials or the number of marches a protester can attend, the fact that there are only twentyfour
hours in a day imposes an implicit ceiling. In contrast, despite some campaign finance laws, there is no upper limit on the
number of dollars that a person can contribute.",201810,blank,CSAT,UNK
the person whose reciprocity is secured thanks to one’s compliance with the moral law,"Morality often expresses itself as a duty to perform an action that advances the interests of another, to the harm of one’s
own. However, moral actions usually do not occur in isolation, but rather as part of a generalized system of reciprocity
(one that stands at the core of the social order in every human society). This system of reciprocity generates benefits for
everyone involved (benefits such as freedom from worry of being robbed). If observance of one’s own duties represents
the price of admission into this generalized system of reciprocity, then it seems clear that respecting moral constraints also
generates benefits. The primary difference between morality and prudence is simply that, in the latter case, the longterm
benefits are secured through one’s own agency, whereas in the former case, they are mediated through the agency of
another.",201810,blank,CSAT,UNK
One of the greatest conceits practiced by research psychologists and other academics is that in studying people we often forget to ask them to personally weigh in on the topics being studied .,"The dictionary of course is not the last word on the definition of bravery. Philosophers have also advanced explanations
of this elusive concept, as have social scientists of all stripes. I’ll give you an example. For decades my
colleagues and I have studied happiness and the good life. We know all about how money does and does not affect
happiness and how happiness affects health, and we understand how happiness changes across the life cycle. But we
have rarely stepped back and taken the time to ask people to define, for themselves, what they consider the good life to
be! The same is true of courage. There are studies of how levels of courage differ from nation to nation and of how
frequently women experience courage. Still, relatively few people have stopped to ask people what they think courage is.",201810,blank,CSAT,UNK
"According to statistics, there have been boosts in the market
demand for digital games, with gamers remaining in the market
as they become mature.","What lies behind the claim that so many people will take off
to virtual worlds? Statistics show that the global market for
video and computer game hardware and software today stands
at about ten billion dollars annually and has risen continuously
for the past several years. Digital games―the term that covers
both video games and computer games―have long been the
preserve of the young, but that distinction is fading. This is
apparently not the sort of thing one gives up as one grows up;
people born after 1980 seem to continue their gaming with
more sophisticated and emotionally involved products.
Consistent with this, industry statistics indicate that the average
age of video gamers is rising by about one year each year. It is
already in the thirties right now. People may change the kinds
of games they are playing, but an interest in interactive
entertainment media, once acquired, seems never to fade.",201810,topic,CSAT,UNK
Humans: Too Adaptive to Feel Happier,"A fundamental trait of human nature is its incredible capacity
for adaptation. In the realm of human psychology, research
has long noted the essential trait of adapting to life’s events,
whether happy or tragic. Whatever the hardship a person may
experience, the indicators of satisfaction quickly return to their
initial levels.
A person seems to get used to everything, which is both
reassuring and depressing. Thus across time and space, the
percentages of happy and unhappy people are remarkably
unstable. This is obviously mainly due to humans’
astonishing capacity of adaptation and imitation. Any wealth or
any progress is relative, and quickly dissolves in a comparison
with others. When millionaires are asked about the size of the
fortune necessary to make them feel ‘truly at ease’, they all
respond in the same way, whatever the level of income they
have already attained: they need double what they already
possess! The heart of the problem is that people do not
anticipate their own capacity to adapt. They think that they
might be happy if they were given (a little) more and then they
would be satisfied, but they are not. The rise in income to come
always makes one dream, although once it is achieved, this
rise is never sufficient. For people compare their future
income to their current aspirations, without taking into account
the inevitable evolution of the aspirations. This is the principal
key to the vain quest for happiness.",201810,topic,CSAT,UNK
"sorrowful, touched","Our class of 1960 was going to be returning for our momentous 50th
reunion, but I had sadly stated to one of my four kids that regretfully,
I was going to miss the reunion because I just couldn’t afford the trip.
Then one evening my youngest daughter, Kelly, handed me an
envelope and said, “Read this later.” A letter inside the envelope
lectured me all about how important old friendships are at all ages
and that I absolutely “must attend my 50th reunion since it is a once
in a lifetime event.” Included within was a round-trip airline ticket to
and from Syracuse and roughly $200 cash. The letter stated that all
four siblings had met and agreed to pool their money to get me to the
reunion. “And don’t even think about payback!” I sat there in stunned
silence. And I wept.",201811,atmosphere,CSAT,UNK
"To prevent delays, don't take unplanned breaks.","Breaks are necessary to revive your energy levels and recharge your
mental stamina, but they shouldn’t be taken carelessly. If you’ve
planned your schedule effectively, you should already have
scheduled breaks at appropriate times throughout the day, so any
other breaks in the midst of ongoing work hours are unwarranted.

While scheduled breaks keep you on track by being strategic, re-
energizing methods of self-reinforcement, unscheduled breaks derail

you from your goal, as they offer you opportunities to procrastinate
by making you feel as if you’ve got “free time.” Taking unscheduled
breaks is a sure-fire way to fall into the procrastination trap. You may
rationalize that you’re only getting a cup of coffee to keep yourself
alert, but in reality, you’re just trying to avoid having to work on a task
at your desk. So to prevent procrastination, commit to having no
random breaks instead.",201811,opinion,CSAT,UNK
"As long as the basic needs are met, happiness is not proportional to any more income.","A Princeton study by Nobel Prize winner Daniel Kahneman found
that once a person earns $75,000 per year, the emotional benefits of
income wear off. He analyzed more than 450,000 responses to the
Gallup-Healthways Well-Being Index, a daily survey of 1,000 U.S.
residents conducted by the Gallup Organization, and discovered that
emotional well-being rises with income—but not beyond an annual
income of $75,000. What is the significance of $75,000? It’s not a
magic number. It appears to be the income considered “adequate” to
meet people’s basic needs. And the researchers found that lower
income did not in itself cause sadness, but made people feel more
burdened by the problems they already had. In other words, that old
saying “money can’t buy happiness” turns out to be true.",201811,opinion,CSAT,UNK
factors contributing to longer life expectancy,"It turns out that the secret behind our recently extended life span is
not due to genetics or natural selection, but rather to the relentless
improvements made to our overall standard of living. From a medical
and public health perspective, these developments were nothing less
than game changing. For example, major diseases such as
smallpox, polio, and measles have been eradicated by mass
vaccination. At the same time, better living standards achieved
through improvements in education, housing, nutrition, and sanitation
systems have substantially reduced malnutrition and infections,
preventing many unnecessary deaths among children. Furthermore,
technologies designed to improve health have become available to
the masses, whether via refrigeration to prevent spoilage or
systemized garbage collection, which in and of itself eliminated many
common sources of disease. These impressive shifts have not only
dramatically affected the ways in which civilizations eat, but also
determined how civilizations will live and die.",201811,topic,CSAT,UNK
Appreciate What You Have Without Unrealistic Expectations,"Do you have a tendency to focus more on what you don’t have than
on what you do? Unfortunately, many people tend to focus on what
they don’t have, when in reality they are sitting on a pile of blessings!
Unrealistic expectations and comparisons to others lead to jealousy.
Being envious of what others have only serves to make you unhappy
with what you personally have. It’s hard to be grateful when all you
can think about is what you don’t have or think you should get.
Oftentimes frustration and dissatisfaction are actually the result of
unrealistic expectations on our part. We think our situation should be
this way or that way, or at least different from the way it is. Gratitude
is not about expectations, but about being thankful for our situation
no matter what our expectations may be.",201811,topic,CSAT,UNK
A good many scientists and artists have noticed the universality of creativity.,"At the Sixteenth Nobel Conference, held in 1980, scientists, musicians,
and philosophers all agreed, to quote Freeman Dyson, that “the
analogies between science and art are very good as long as you are
talking about the creation and the performance. The creation is
certainly very analogous. The aesthetic pleasure of the craftsmanship
of performance is also very strong in science.” A few years later, at
another multidisciplinary conference, physicist Murray Gell-Mann found
that “everybody agrees on where ideas come from. We had a seminar
here, about ten years ago, including several painters, a poet, a couple
of writers, and the physicists. Everybody agrees on how it works. All of
these people, whether they are doing artistic work or scientific work,
are trying to solve a problem.”",201811,blank,CSAT,UNK
